batch_id,product_id,product_name,baked_date,baked_at,units_baked,units_sold,units_wasted,waste_cost_usd,shelf_life_hours
74e249b7-3098-43b5-95a0-a78f5da2aa85,P001,Butter Croissant,2024-01-01,2024-01-01 05:00:00,26,11,15,18.0,12
834a2991-777d-4ce0-bc88-1a44742f107d,P002,Sourdough Loaf,2024-01-01,2024-01-01 05:00:00,54,14,40,72.0,48
017557df-69ad-4ef4-9708-435b243025bd,P003,Almond Danish,2024-01-01,2024-01-01 04:00:00,47,10,37,40.7,10
3941b1ff-0a2f-44c2-b88d-7b45ca094c9e,P004,Chocolate Cake,2024-01-01,2024-01-01 06:00:00,42,8,34,272.0,72
d2b3a63a-5bf3-4d49-9b29-bbbfd06b83a4,P005,Cinnamon Roll,2024-01-01,2024-01-01 07:00:00,43,7,36,32.4,8
c3f3a932-b9f8-4546-af53-7b6f1b6d0ac1,P006,Bagel Plain,2024-01-01,2024-01-01 07:00:00,54,9,45,22.5,24
631f9128-75b5-4012-b6fb-20373cf29224,P007,Macaron Box,2024-01-01,2024-01-01 04:00:00,30,8,22,88.0,72
89b71dc6-b353-48e7-a8eb-02ab97d420e8,P008,Cheese Danish,2024-01-01,2024-01-01 07:00:00,47,6,41,49.2,10
0cc7a0bb-d11e-4431-80db-545faa6164c6,P009,Baguette,2024-01-01,2024-01-01 05:00:00,46,12,34,27.2,24
cf908991-c84a-4984-8fed-7af5f19b2ea0,P010,Custom Cake,2024-01-01,2024-01-01 05:00:00,31,24,7,126.0,48
9252dc7b-1d06-4cef-b3bf-1f7b45c095eb,P011,Blueberry Muffin,2024-01-01,2024-01-01 04:00:00,33,14,19,13.3,24
dbf8d164-16b8-423c-b675-eeaa03f4cbe6,P012,Brioche Loaf,2024-01-01,2024-01-01 07:00:00,21,17,4,8.0,48
6b861244-e5e3-478b-a3c6-f6d8a46dfb07,P001,Butter Croissant,2024-01-02,2024-01-02 06:00:00,48,9,39,46.8,12
416b1933-afb8-4535-ac5c-ec1a9fa7859d,P002,Sourdough Loaf,2024-01-02,2024-01-02 06:00:00,23,13,10,18.0,48
100f01c5-6435-48d7-b03b-f847ed90ec9a,P003,Almond Danish,2024-01-02,2024-01-02 06:00:00,49,3,46,50.6,10
132210ce-a3b7-40a1-a034-9df3b42d9b87,P004,Chocolate Cake,2024-01-02,2024-01-02 07:00:00,23,0,23,184.0,72
bd19c2c4-b79c-42c1-b00a-6748455afdfd,P005,Cinnamon Roll,2024-01-02,2024-01-02 04:00:00,27,4,23,20.7,8
bc2d1e4e-accb-4f50-934c-527188a7a884,P006,Bagel Plain,2024-01-02,2024-01-02 05:00:00,44,5,39,19.5,24
63007a42-7c54-41d3-90a7-7593949836e2,P007,Macaron Box,2024-01-02,2024-01-02 05:00:00,40,2,38,152.0,72
835eb262-79b3-4426-b363-a194304cab88,P008,Cheese Danish,2024-01-02,2024-01-02 05:00:00,55,11,44,52.8,10
27dbc9c2-65ca-45d8-b8e1-44dd9b920276,P009,Baguette,2024-01-02,2024-01-02 07:00:00,30,6,24,19.2,24
8d1caf72-2a5c-4fb3-9dd5-c94b4304f0c2,P010,Custom Cake,2024-01-02,2024-01-02 06:00:00,22,11,11,198.0,48
50d84817-9097-4236-a55f-0be41c1fa66c,P011,Blueberry Muffin,2024-01-02,2024-01-02 07:00:00,36,16,20,14.0,24
e3ad7a38-67bf-4e44-a0d1-d23d9e7c1a54,P012,Brioche Loaf,2024-01-02,2024-01-02 07:00:00,59,9,50,100.0,48
d6cbcca7-bc7a-4f6b-89d1-5bd3a66a609c,P001,Butter Croissant,2024-01-03,2024-01-03 05:00:00,60,10,50,60.0,12
c32d08c0-3d7a-4743-a2de-c1d40dbb3f04,P002,Sourdough Loaf,2024-01-03,2024-01-03 04:00:00,25,0,25,45.0,48
ebe85cd8-6dc8-4a0c-adaa-b128b2503578,P003,Almond Danish,2024-01-03,2024-01-03 04:00:00,36,5,31,34.1,10
8a9ae3fe-5c4a-42b3-974d-1113bbc33f6f,P004,Chocolate Cake,2024-01-03,2024-01-03 06:00:00,40,14,26,208.0,72
7c5dfe01-07c2-4654-94e7-fb32e4938f19,P005,Cinnamon Roll,2024-01-03,2024-01-03 07:00:00,29,17,12,10.8,8
19091112-1c84-49b7-897d-d1bb304db6fb,P006,Bagel Plain,2024-01-03,2024-01-03 04:00:00,34,3,31,15.5,24
02618246-c0ad-4217-858d-abb78353ac80,P007,Macaron Box,2024-01-03,2024-01-03 04:00:00,26,4,22,88.0,72
b5187792-6b4d-4f85-acb3-970b396bef82,P008,Cheese Danish,2024-01-03,2024-01-03 06:00:00,30,12,18,21.6,10
4cdd96c8-1c94-4e2c-b881-4aac6f472ae2,P009,Baguette,2024-01-03,2024-01-03 06:00:00,30,3,27,21.6,24
165b72d9-b636-4bef-830e-afc41eaabb62,P010,Custom Cake,2024-01-03,2024-01-03 05:00:00,35,6,29,522.0,48
fe3dbb39-94ed-45ff-8a3c-553ee85cbc0e,P011,Blueberry Muffin,2024-01-03,2024-01-03 07:00:00,45,7,38,26.6,24
549fe34d-30e7-4d51-9da8-c23c7262041e,P012,Brioche Loaf,2024-01-03,2024-01-03 06:00:00,27,13,14,28.0,48
8985eda7-7900-4ee0-9311-b7712fa31166,P001,Butter Croissant,2024-01-04,2024-01-04 05:00:00,33,11,22,26.4,12
a64a6dc0-f801-4661-b770-8836f8ae1444,P002,Sourdough Loaf,2024-01-04,2024-01-04 06:00:00,42,5,37,66.6,48
540e1bf3-8e0b-42ce-9f71-7a49b363cef6,P003,Almond Danish,2024-01-04,2024-01-04 05:00:00,27,15,12,13.2,10
c03cdf0f-a12f-4adb-bfbf-6b6963427081,P004,Chocolate Cake,2024-01-04,2024-01-04 04:00:00,48,10,38,304.0,72
c5b089aa-8566-41d2-970b-6c6fad9ab980,P005,Cinnamon Roll,2024-01-04,2024-01-04 06:00:00,21,11,10,9.0,8
8c6704ae-34d9-4440-b45e-3090c56a57e8,P006,Bagel Plain,2024-01-04,2024-01-04 06:00:00,29,15,14,7.0,24
168bf051-0024-4cd6-ae6a-5aa0cde70fa1,P007,Macaron Box,2024-01-04,2024-01-04 04:00:00,29,3,26,104.0,72
